BCE,BST1,BSTA,BST5,KWEA,KWEAD,KWEP,KWEPARKING,THEWING,THELEVEL
82.25,34,10,1,233,27.16,26,0.23,12.37,38.41
80.08,32,12.5,0,232,24.55,14,0.23,14.53,38.21
73.01,33,10,5,231,25.15,14,0.23,16.44,39.12
78.23,30,12.5,0,222,22.13,9,0.23,18.85,37.81
87.4,26,12.5,1,253,29.07,5,0.23,20.71,38.41
76.87,25,12.5,0,268,20.63,6,0.23,18.3,39.52
75.9,29,15,0,252,23.34,5,0.23,15.08,40.52
102.11,25,17.5,0,249,25.45,9,0.23,15.08,42.84
83.86,27,12.5,0,249,28.97,12,0.23,14.33,43.94
88.28,25,17.5,0,250,35.5,13,0.23,17.24,41.23
78.64,24,17.5,0,247,30.68,15,0.23,12.47,40.12
74.13,27,17.5,0,220,28.26,14,0.23,12.97,40.32
72.61,25,15,0,226,31.98,10,0.23,12.82,41.63
70.68,26,17.5,0,229,34.09,12,0.23,12.47,40.83
65.69,27,12.5,0,231,32.38,14,0.23,12.52,39.82
59.02,24,12.5,0,225,33.49,14,0.23,17.7,38.92
56.45,22,12.5,1,223,33.49,13,0.23,17.35,37.51
55,21,15,0,222,35.1,13,0.23,13.93,38.31
49.77,19,12.5,0,189,36.81,6,0.23,14.18,38.01
46.48,18,10,0,173,37.51,7,0.23,15.03,38.21
38.28,16,10,0,152,28.77,7,0.23,16.24,31.78
37.23,14,10,1,148,24.55,8,0.23,13.17,31.08
35.62,15,7.5,9,139,23.04,12,0.23,18.25,29.27
38.36,14,10,26,137,20.02,23,0.23,17.7,26.56
37.87,14,7.5,37,131,21.83,22,0.23,13.33,23.64
35.7,13,10,30,135,21.43,25,0.23,14.58,21.03
34.82,12,7.5,28,124,23.04,36,0.23,16.74,21.53
33.53,13,7.5,35,127,24.65,41,0.23,16.19,21.93
30.24,11,10,39,132,26.05,45,0.23,16.89,23.04
28.87,12,7.5,41,131,26.15,55,0.23,17.45,24.34
27.42,12,10,45,140,28.16,61,0.23,15.99,23.34
26.06,11,7.5,48,133,26.45,66,0.23,19.46,25.15
25.65,12,7.5,48,134,28.26,70,0.23,16.44,25.25
25.65,12,10,49,129,27.06,74,0.23,17.14,23.44
23.8,11,7.5,50,126,29.17,76,0.23,14.78,23.84
24.77,12,7.5,51,116,27.66,76,0.23,15.49,24.55
26.14,11,10,49,116,27.96,74,0.23,16.29,24.04
23.64,11,7.5,50,115,28.16,71,0.23,16.64,23.24
24.13,11,7.5,49,111,29.47,71,0.23,18.5,21.03
25.33,10,7.5,47,107,28.67,71,0.23,15.69,24.95
22.68,12,7.5,44,94,29.07,70,0.23,17.09,16.81
22.36,12,10,43,97,27.66,27,0.23,19.46,17.91
21.79,12,7.5,42,89,29.17,22,0.23,17.55,14.8
23.4,11,10,42,81,28.26,27,0.23,16.59,12.89
21.87,12,10,42,82,28.16,30,0.23,16.79,15
22.76,11,7.5,42,80,28.16,32,0.23,17.8,15
26.22,12,10,43,81,27.56,31,0.23,15.29,14.9
23.88,12,7.5,42,80,28.97,31,0.23,15.34,14.8
20.67,11,7.5,40,79,23.24,43,0.23,13.78,6.46
21.07,12,7.5,42,87,25.15,43,0.23,13.17,6.56
21.23,11,7.5,42,82,23.14,43,0.23,12.72,6.86
20.75,12,7.5,42,79,24.85,42,0.23,12.42,6.35
21.39,11,7.5,40,78,23.54,41,0.23,11.42,6.56
21.39,12,7.5,41,91,24.65,34,0.23,11.62,6.25
21.47,12,7.5,42,80,24.24,34,0.23,11.82,6.86
20.59,11,10,41,76,23.24,43,0.23,13.33,6.46
20.91,12,7.5,41,78,25.35,41,0.23,13.07,6.35
21.15,11,7.5,43,77,22.94,44,0.23,14.38,6.66
21.23,12,7.5,41,87,24.95,42,0.23,10.66,6.56
20.75,11,10,41,76,23.04,43,0.23,10.76,6.66
21.31,12,7.5,42,77,25.05,41,0.23,9.81,6.56
21.31,11,7.5,40,78,23.74,42,0.23,9.71,6.76
20.99,11,10,41,77,24.44,42,0.23,10.11,6.76
21.07,12,7.5,41,85,23.54,42,0.23,10.11,6.46
21.31,11,10,41,77,24.34,42,0.23,9.41,7.76
