Time,1_Plant1,3_Plant1,6_Plant1
834,270.792,122.54545454545445,70.0
835,288.0,139.9999999999999,95.71428571428572
836,270.792,122.54545454545445,70.0
837,270.79200000000014,122.36363636363626,70.0
838,288.0000000000001,139.81818181818167,95.71428571428572
839,270.79200000000014,122.36363636363626,70.0
840,253.58400000000017,104.90909090909085,70.0
841,236.3760000000002,87.45454545454541,70.0
842,219.16800000000018,70.0,70.0
843,219.16800000000018,70.1818181818182,70.0
844,236.3760000000002,87.63636363636363,70.0
845,253.58400000000017,105.09090909090901,70.0
846,270.79200000000014,122.54545454545445,70.0
847,288.0000000000001,139.9999999999999,95.71428571428572
848,288.0,139.9999999999999,70.0
849,288.0000000000001,139.9999999999999,70.0
850,270.79200000000014,122.54545454545445,70.0
851,288.0000000000001,139.9999999999999,70.0
852,270.79200000000014,122.54545454545445,70.0
853,288.0000000000001,122.54545454545445,70.0
854,279.7840561536002,105.09090909090904,70.0
855,270.79200000000014,122.54545454545445,70.0
856,253.58400000000017,105.09090909090904,70.0
857,270.79200000000014,122.54545454545445,70.0
858,288.0000000000001,139.9999999999999,95.71428571428572
859,288.0000000000001,139.9999999999999,70.0
860,288.0000000000001,139.9999999999999,70.0
861,288.0000000000001,139.99999999999991,70.0
862,288.0000000000001,139.9999999999999,70.0
863,288.0,139.9999999999999,70.0
864,288.0000000000001,139.99999999999991,95.71428571428572
865,270.79200000000014,122.54545454545448,70.0
866,253.58400000000017,105.0909090909091,70.0
867,236.3760000000002,87.6363636363636,70.0
868,253.58400000000017,105.09090909090901,70.0
869,270.79200000000014,122.54545454545445,70.0
870,288.0000000000001,139.9999999999999,95.71428571428572
871,270.79200000000014,122.54545454545445,70.0
872,288.0,139.99999999999991,70.0
873,288.0000000000001,139.9999999999999,70.0
874,288.0000000000001,139.9999999999999,70.0
875,288.0,130.9765578727273,70.0
876,288.0,139.99999999999991,70.0
877,288.0000000000001,139.9999999999999,70.0
878,270.79200000000014,122.54545454545445,70.0
879,270.79200000000014,122.54545454545445,70.0
880,288.0000000000001,139.9999999999999,70.0
881,288.0000000000001,139.9999999999999,70.0
882,288.0,139.9999999999999,70.0
883,288.0000000000001,139.9999999999999,70.0
884,288.0,139.9999999999999,70.0
885,288.0000000000001,139.9999999999999,70.0
886,288.0,122.54545454545445,70.0
887,270.79200000000014,105.09090909090904,70.0
888,288.0000000000001,122.54545454545445,95.71428571428572
889,270.79200000000014,105.09090909090904,70.0
890,253.58400000000017,87.6363636363636,70.0
891,236.3760000000002,70.1818181818182,70.0
892,251.70579214560007,87.63636363636363,70.0
893,268.9137921456001,105.09090909090904,70.0
894,286.12179214560007,122.54545454545445,70.0
895,288.0000000000001,139.9999999999999,95.71428571428572
896,270.79200000000014,122.54545454545445,70.0
897,288.0,139.9999999999999,70.0
898,288.0,139.9999999999999,70.0
899,288.0000000000001,139.9999999999999,70.0
900,288.0,139.9999999999999,70.0
901,288.0000000000001,139.9999999999999,70.0
902,288.0,139.99999999999991,70.0
903,288.0,139.99999999999991,70.0
904,288.0000000000001,139.9999999999999,70.0
905,288.0,139.9999999999999,70.0
906,288.0000000000001,139.99999999999991,70.0
907,288.0,139.9999999999999,70.0
908,288.0,139.9999999999999,70.0
909,288.0,139.9999999999999,70.0
910,281.41258337280016,122.54545454545445,70.0
911,288.0,139.9999999999999,70.0
912,288.0000000000001,139.9999999999999,95.71428571428572
913,270.79200000000014,122.54545454545445,70.0
914,253.58400000000017,105.09090909090901,70.0
915,236.37600000000003,87.6363636363636,70.0
916,253.584,105.09090909090901,70.0
917,270.792,122.54545454545445,70.0
918,288.0,139.9999999999999,95.71428571428572
919,270.792,122.54545454545445,70.0
920,288.0,139.9999999999999,95.71428571428572
921,270.792,122.54545454545445,70.0
922,288.0,139.9999999999999,95.71428571428572
923,270.792,122.54545454545445,70.0
924,270.79200000000014,105.09090909090904,70.0
925,288.0000000000001,122.54545454545445,70.0
926,270.79200000000014,105.09090909090904,70.0
927,288.0000000000001,122.54545454545445,70.0
928,270.79200000000014,105.09090909090904,70.0
929,253.58400000000017,87.63636363636363,70.0
930,270.79200000000014,105.09090909090904,70.0
931,288.0000000000001,122.54545454545445,95.71428571428572
932,270.79200000000014,105.09090909090904,70.0
933,288.0000000000001,122.54545454545445,70.0
934,288.0,139.9999999999999,70.0
935,288.0000000000001,139.9999999999999,70.0
936,288.0,139.9999999999999,95.71428571428572
937,270.792,122.54545454545445,70.0
938,253.584,105.09090909090904,70.0
939,236.37600000000003,87.6363636363636,70.0
940,253.584,105.09090909090904,70.0
941,270.792,122.54545454545445,70.0
942,288.0,139.9999999999999,95.71428571428572
943,288.0,139.9999999999999,70.0
944,288.0,139.9999999999999,95.71428571428572
945,270.792,122.54545454545445,70.0
946,275.23075531679984,105.09090909090904,70.0
947,270.792,87.63636363636363,70.0
948,287.99999999999994,105.09090909090904,70.0
949,270.792,87.63636363636363,70.0
950,288.0,105.09090909090904,70.0
951,288.0000000000001,122.54545454545445,70.0
952,270.79200000000014,122.54545454545445,70.0
953,288.0000000000001,139.9999999999999,70.0
954,288.0000000000001,139.9999999999999,70.0
